userid,NodeType,Partyaff
1079770852302950016,Politician,
172858784,Politician,2.0
48117116,Politician,1.0
129259273,Politician,1.0
1249982359,Politician,1.0
1240107944,Politician,2.0
1089859058,Politician,2.0
1029094268542089984,Politician,
838462994,Politician,1.0
3420965229,Politician,1.0
33655490,Politician,1.0
115676070,Politician,2.0
19668491,Politician,1.0
1060655470178780032,Politician,
20217019,Politician,1.0
269992801,Politician,1.0
11347122,Politician,2.0
728344273620344064,Politician,
1076293903723229952,Politician,
237770636,Politician,2.0
1058807868,Politician,1.0
1064659902071800064,Politician,
2916915026,Politician,2.0
41266395,Politician,1.0
45550693,Politician,2.0
4919082864,Politician,1.0
851808935397010944,Politician,
1040058893907510016,Politician,
1192549822865289984,Politician,
166374616,Politician,2.0
1083795319027079936,Politician,
2987671552,Politician,3.0
18023868,Politician,1.0
102071743,Politician,2.0
1064603540956560000,Politician,
259341329,Politician,1.0
1003672320781799936,Politician,
111721601,Politician,2.0
2891165960,Politician,1.0
3124524385,Politician,2.0
816282120767291008,Politician,
948946378939608960,Politician,
1070083706822429952,Politician,
232268199,Politician,2.0
813792250497027968,Politician,
4755913398,Politician,1.0
18820392,Politician,1.0
865210877678685952,Politician,
3023272478,Politician,2.0
2978837542,Politician,2.0
240778059,Politician,2.0
16335288,Politician,1.0
235251868,Politician,1.0
1084924525232509952,Politician,
19291441,Politician,1.0
60688326,Politician,1.0
545107258,Politician,1.0
104198706,Politician,2.0
1077214808,Politician,2.0
607332953,Politician,2.0
234896532,Politician,1.0
1081334766924749952,Politician,
18061669,Politician,3.0
2891210047,Politician,1.0
941080085121175040,Politician,
21111098,Politician,1.0
5558312,Politician,1.0
968650362,Politician,1.0
2964949642,Politician,1.0
1080844782,Politician,2.0
476256944,Politician,2.0
803694179079458048,Politician,
224285242,Politician,2.0
235217558,Politician,1.0
278124059,Politician,2.0
2853793517,Politician,2.0
249787913,Politician,2.0
15324851,Politician,2.0
229966028,Politician,1.0
131546062,Politician,1.0
78403308,Politician,1.0
2863210809,Politician,1.0
92186819,Politician,2.0
1262099252,Politician,2.0
2856787757,Politician,1.0
10615232,Politician,1.0
600463589,Politician,1.0
1096059529,Politician,1.0
1058520120,Politician,2.0
247334603,Politician,2.0
1080870981877529984,Politician,
234128524,Politician,1.0
18632666,Politician,1.0
75364211,Politician,1.0
216881337,Politician,1.0
1017500185356850048,Politician,
816683274076614016,Politician,
21406834,Politician,2.0
970207298,Politician,2.0
109071031,Politician,2.0
18137749,Politician,2.0
19726613,Politician,1.0
1068481578,Politician,1.0
236511574,Politician,2.0
76456274,Politician,2.0
22044727,Politician,2.0
941000686275387008,Politician,
21269970,Politician,1.0
1080960924687699968,Politician,
983348251972816000,Politician,
264219447,Politician,1.0
11651202,Politician,1.0
515822213,Politician,2.0
21157904,Politician,1.0
2964174789,Politician,1.0
1048784496,Politician,1.0
382791093,Politician,1.0
1071402577,Politician,1.0
2962923040,Politician,1.0
946549322,Politician,2.0
109287731,Politician,2.0
2167097881,Politician,2.0
18695134,Politician,2.0
1099199839,Politician,2.0
60828944,Politician,2.0
811313565760162944,Politician,
818554054309714944,Politician,
899978622416695040,Politician,
17494010,Politician,2.0
43910797,Politician,2.0
18915145,Politician,1.0
7270292,Politician,1.0
225921757,Politician,1.0
29201047,Politician,2.0
250188760,Politician,2.0
171598736,Politician,2.0
221162525,Politician,1.0
486694111,Politician,2.0
242555999,Politician,2.0
432895323,Politician,1.0
217543151,Politician,1.0
2955485182,Politician,1.0
296361085,Politician,1.0
76649729,Politician,1.0
278145569,Politician,1.0
13218102,Politician,1.0
1074480192,Politician,1.0
88784440,Politician,1.0
1078693601356499968,Politician,
7429102,Politician,2.0
242836537,Politician,2.0
29442313,Politician,3.0
117501995,Politician,2.0
293131808,Politician,2.0
1074518754,Politician,2.0
233737858,Politician,1.0
193794406,Politician,1.0
234374703,Politician,2.0
202206694,Politician,1.0
291756142,Politician,1.0
37007274,Politician,1.0
2253968388,Politician,1.0
224294785,Politician,1.0
33977070,Politician,1.0
76452765,Politician,1.0
237299871,Politician,1.0
2861616083,Politician,1.0
381152398,Politician,2.0
233693291,Politician,1.0
2953974395,Politician,1.0
234469322,Politician,1.0
2852998461,Politician,1.0
808416682972770048,Politician,
1081240074946249984,Politician,
28602948,Politician,2.0
240760644,Politician,1.0
816652616625168000,Politician,
229197216,Politician,1.0
2966570782,Politician,2.0
996094929733651968,Politician,
1080885078425779968,Politician,
1069124515,Politician,1.0
1071102246,Politician,2.0
88806753,Politician,2.0
50152441,Politician,1.0
303861808,Politician,2.0
38254095,Politician,2.0
950783972,Politician,2.0
1074412920,Politician,1.0
385429543,Politician,2.0
1080851152151949952,Politician,
2968007206,Politician,2.0
15764644,Politician,2.0
248735463,Politician,2.0
24913074,Politician,2.0
942156122,Politician,2.0
245451804,Politician,2.0
816298918468258944,Politician,
249348006,Politician,2.0
267938462,Politician,2.0
796736612554116992,Politician,
1080875913926130048,Politician,
344972339,Politician,1.0
19739126,Politician,1.0
816157667882372992,Politician,
1068273911224089984,Politician,
1243902714,Politician,2.0
193732179,Politician,2.0
29501253,Politician,2.0
1222257180,Politician,2.0
30216513,Politician,2.0
3018670151,Politician,2.0
161411080,Politician,2.0
3044993235,Politician,2.0
2371339658,Politician,2.0
236279233,Politician,2.0
239949176,Politician,2.0
312134473,Politician,2.0
1080986167003229952,Politician,
479872233,Politician,2.0
1037321378,Politician,2.0
22545491,Politician,1.0
36686040,Politician,2.0
816833925456788992,Politician,
1081222837459990016,Politician,
815985039485837056,Politician,
1055730738,Politician,2.0
1075080722241730048,Politician,
1072134139560620032,Politician,2.0
1260172386,Politician,2.0
1135486501,Politician,2.0
432771620,Politician,1.0
28599820,Politician,2.0
1078749802765129984,Politician,
242873057,Politician,1.0
2862577383,Politician,1.0
584012853,Politician,1.0
1080191866509900032,Politician,
20552026,Politician,2.0
50452197,Politician,2.0
85396297,Politician,2.0
140519774,Politician,2.0
31611298,Politician,2.0
1082086081238099968,Politician,
817050219007328000,Politician,
23600262,Politician,1.0
818948638890216960,Politician,
815952318487298048,Politician,1.0
1071900114,Politician,1.0
828977216595848960,Politician,
818472418620608000,Politician,
1082416697380909952,Politician,
796183515998067968,Politician,
25086658,Politician,1.0
818713465653051008,Politician,
798973032362605952,Politician,
281540744,Politician,1.0
26051676,Politician,1.0
816030424778542976,Politician,
1880674038,Politician,2.0
20467163,Politician,1.0
1083125649609500032,Politician,
814103950404238976,Politician,
816111677917851008,Politician,
2433737761,Politician,2.0
1077121945,Politician,2.0
137794015,Politician,2.0
1140648348,Politician,1.0
234014087,Politician,2.0
37094727,Politician,1.0
1080941062028440064,Politician,
1060584809095920000,Politician,
2973870195,Politician,1.0
249410485,Politician,2.0
806583915012045952,Politician,
24745957,Politician,2.0
29450962,Politician,2.0
1082380458976050048,Politician,
2382685057,Politician,1.0
234797704,Politician,1.0
1060487274,Politician,1.0
2975091705,Politician,1.0
2914163523,Politician,1.0
2964287128,Politician,1.0
168673083,Politician,2.0
190328374,Politician,1.0
1081350574589830016,Politician,
1064206014,Politician,2.0
1081256295469059968,Politician,
510516465,Politician,2.0
1080865917377090048,Politician,
1078741899572240000,Politician,
76132891,Politician,1.0
305216911,Politician,2.0
1339931490,Politician,2.0
1009269193,Politician,2.0
1082427779583539968,Politician,
56864092,Politician,2.0
1083472286089389952,Politician,
789244177,Politician,1.0
814179031956487936,Politician,
24195214,Politician,2.0
1071840474,Politician,2.0
1080509366,Politician,2.0
2964877294,Politician,1.0
993153006,Politician,1.0
1080539438508400000,Politician,
15600527,Politician,1.0
219429281,Politician,1.0
1092979962,Politician,2.0
3686482216,Politician,1.0
193872188,Politician,2.0
1065995022,Politician,1.0
816131319033949952,Politician,
1086316494450029952,Politician,
1074101017,Politician,1.0
1082369392229400064,Politician,
199325935,Politician,2.0
234812598,Politician,1.0
811986281177772032,Politician,1.0
1080516116395490048,Politician,
854715071116849024,Politician,
1908143071,Politician,1.0
384913290,Politician,2.0
975200486,Politician,1.0
550401754,Politician,1.0
1089334250,Politician,1.0
1209417007,Politician,1.0
267854863,Politician,2.0
843636970538617984,Politician,
827279765287559040,Politician,
2962891515,Politician,1.0
2951574214,Politician,1.0
14984637,Politician,2.0
1080891667308290048,Politician,
960962340,Politician,1.0
305620929,Politician,2.0
364415553,Politician,2.0
823552974253341952,Politician,
22012091,Politician,2.0
1080573351914060032,Politician,
787373558,Politician,2.0
806906355214851968,Politician,
442824717,Politician,2.0
242426145,Politician,2.0
1079802482640009984,Politician,
1055907624,Politician,2.0
2293131060,Politician,2.0
3091316093,Politician,2.0
1080584229510169984,Politician,
310310133,Politician,2.0
232992031,Politician,2.0
815241612154417024,Politician,
233949261,Politician,1.0
233842454,Politician,1.0
2696643955,Politician,1.0
1045110018,Politician,2.0
124224165,Politician,1.0
237862972,Politician,1.0
1078401427347849984,Politician,
1080277407867769984,Politician,
811632636598909952,Politician,
1076161611033959936,Politician,
2970279814,Politician,2.0
1079769536730140032,Politician,
2863006655,Politician,2.0
1083474782602119936,Politician,
1080222360643480064,Politician,
1061310112013430016,Politician,
516880804,Politician,2.0
1082334352711789952,Politician,
2914515430,Politician,1.0
1075830599007510016,Politician,
584912320,Politician,2.0
1051446626,Politician,1.0
1849261916,Politician,1.0
237763317,Politician,1.0
163570705,Politician,2.0
29766367,Politician,1.0
1444015610,Politician,1.0
1623308912,Politician,1.0
3317799825,Politician,1.0
82453460,Politician,2.0
1081243468327010048,Politician,
299883942,Politician,1.0
432676344,Politician,2.0
1058460818,Politician,1.0
26778110,Politician,1.0
155669457,Politician,1.0
16256269,Politician,1.0
2966205003,Politician,1.0
834069080,Politician,1.0
935033864,Politician,1.0
27676828,Politician,1.0
975198558461799936,Politician,
2916086925,Politician,2.0
817138492614524032,Politician,
1080515866255590016,Politician,
18805303,Politician,1.0
818975124460334976,Politician,
296245061,Politician,1.0
1067748650485490048,Politician,
1058717720,Politician,2.0
3122099613,Politician,2.0
1083469084648499968,Politician,
1078771848882589952,Politician,
1289319271,Politician,1.0
815310506596690944,Politician,
31801993,Politician,2.0
1080898026418380032,Politician,
18696134,Politician,2.0
74508260,Politician,2.0
1155335864,Politician,2.0
1080569698536870016,Politician,
2968451607,Politician,2.0
1080695666760920064,Politician,
1080830346915200000,Politician,
19318314,Politician,2.0
122174004,Politician,2.0
402719755,Politician,1.0
1079061579973430016,Politician,
389840566,Politician,2.0
2750127259,Politician,1.0
18277655,Politician,1.0
816705409486617984,Politician,
2970462034,Politician,2.0
22812754,Politician,2.0
1051127714,Politician,2.0
164369297,Politician,2.0
467823431,Politician,2.0
240812994,Politician,2.0
40302336,Politician,2.0
1078692057940739968,Politician,
258900199,Politician,2.0
817076257770834944,Politician,
1079104563280519936,Politician,
33563161,Politician,2.0
164007407,Politician,2.0
221792092,Politician,2.0
1072467470,Politician,2.0
1080485692298439936,Politician,
84119348,Politician,2.0
2962813893,Politician,1.0
1080978331535890048,Politician,
252819323,Politician,1.0
2966765501,Politician,1.0
1064595993222610048,Politician,
33576489,Politician,2.0
237750442,Politician,1.0
518644221,Politician,1.0
1531521632,Politician,2.0
18166778,Politician,1.0
15394954,Politician,1.0
211530910,Politician,1.0
234822928,Politician,1.0
742735530287303936,Politician,
581141508,Politician,2.0
51228911,Politician,1.0
153486399,Politician,2.0
1037341536592310016,Politician,
13491312,Politician,1.0
976969338,Politician,1.0
211420609,Politician,1.0
1054381765224210048,Politician,
1067818539179020032,Politician,
1060370282,Politician,1.0
242772524,Politician,1.0
23124635,Politician,1.0
1083019402046509952,Politician,
558769636,Politician,2.0
32010840,Politician,1.0
15954997,Politician,2.0
252249233,Politician,2.0
20545793,Politician,2.0
816303263586914048,Politician,
4304448314,Politician,2.0
90639372,Politician,2.0
567508925,Politician,2.0
1067541214671570048,Politician,
1052896620797459968,Politician,
1069636653352999936,Politician,
776664410,Politician,2.0
1080574793630520064,Politician,
18773159,Politician,1.0
41417564,Politician,1.0
1082311988926119936,Politician,
4205133682,Politician,1.0
18967498,Politician,1.0
935368364,Politician,2.0
984456621416999936,Politician,
39249305,Politician,2.0
23593446,Politician,2.0
18909919,Politician,2.0
1080198683713500032,Politician,
254082173,Politician,1.0
240393970,Politician,1.0
880480631108643968,Politician,
188019606,Politician,2.0
1058345042,Politician,2.0
1074782372594409984,Politician,
52503751,Politician,1.0
1028854804087490048,Politician,
235190657,Politician,1.0
235312723,Politician,1.0
22523087,Politician,2.0
1081312310059250048,Politician,
1080477288955820032,Politician,
816012124505931008,Politician,
162069635,Politician,2.0
22055226,Politician,1.0
1080894931311430016,Politician,
1075040139351590016,Politician,
2847221717,Politician,1.0
1080854935535800064,Politician,
1075904377221720064,Politician,
19926675,Politician,1.0
156333623,Politician,2.0
